iter	Passed	Remaining
0	149	44790
1	165	24692
2	180	17867
3	195	14465
4	210	12401
5	225	11036
6	241	10088
7	256	9378
8	271	8789
9	286	8316
10	301	7920
11	316	7584
12	331	7315
13	348	7119
14	364	6920
15	379	6737
16	394	6565
17	408	6396
18	422	6247
19	436	6113
20	450	5986
21	468	5913
22	486	5858
23	501	5772
24	517	5687
25	531	5606
26	546	5526
27	560	5448
28	574	5370
29	589	5305
30	604	5241
31	618	5180
32	632	5118
33	646	5061
34	661	5006
35	675	4953
36	689	4901
37	703	4853
38	718	4805
39	734	4771
40	748	4727
41	763	4689
42	778	4655
43	793	4616
44	808	4582
45	822	4542
46	837	4508
47	857	4499
48	873	4474
49	887	4438
50	903	4412
51	918	4378
52	932	4343
53	946	4310
54	960	4278
55	975	4249
56	990	4222
57	1005	4196
58	1021	4173
59	1036	4146
60	1051	4120
61	1066	4093
62	1080	4064
63	1094	4036
64	1108	4008
65	1125	3990
66	1140	3964
67	1154	3938
68	1168	3911
69	1182	3886
70	1196	3860
71	1211	3835
72	1226	3812
73	1244	3800
74	1262	3786
75	1277	3765
76	1292	3741
77	1306	3718
78	1321	3695
79	1335	3671
80	1349	3649
81	1363	3625
82	1378	3603
83	1392	3580
84	1406	3558
85	1420	3535
86	1435	3515
87	1451	3497
88	1467	3479
89	1484	3463
90	1500	3446
91	1522	3441
92	1556	3463
93	1578	3459
94	1598	3448
95	1611	3424
96	1625	3402
97	1643	3387
98	1661	3372
99	1677	3354
100	1692	3334
