feature,importance
amount,504
month_sin,261
fano_factor,221
interval_zscore,207
burstiness_score,205
hour_sin,204
month_cos,204
avg_session_interval_sec,204
session_interval_std,201
day_of_month,182
minute,169
exp_weighted_avg_interval,164
month,160
avg_logins_per_day_7d,143
day_of_week,141
day_cos,139
hour_cos,135
login_freq_change_ratio,125
day_sin,122
hour,119
avg_logins_per_day_30d,114
unique_phone_models_30d,99
login_activity_score,97
session_interval_variance,94
logins_last_30_days,91
device_diversity,87
amount_log,71
amount_category,69
is_round_10000,64
unique_os_versions_30d,59
amount_sqrt,58
login_ratio_7d_30d,46
is_evening,45
is_afternoon,44
is_morning,38
amount_cbrt,33
logins_last_7_days,30
is_weekend,29
is_round_1000,26
is_multi_device,24
is_night,18
is_round_100,18
is_early_morning,16
has_os_data,7
round_amount_night,4
is_unusual_interval,4
large_amount_no_activity,2
is_zero_activity,2
weekend_night,1
is_peak_fraud_hour,0
has_behavior_data,0
has_phone_data,0
is_high_burstiness,0
night_large_amount,0
